id,account_id,project_id,date
290,249,31,2021-10-29
291,249,2,2021-10-29
348,69,8,2021-11-01
349,204,5,2021-11-01
350,204,17,2021-11-01
351,207,5,2021-11-01
352,207,3,2021-11-01
353,207,6,2021-11-01
354,204,3,2021-11-01
33,204,3,2021-10-01
355,204,1,2021-11-01
356,208,8,2021-11-01
357,164,17,2021-11-01
359,78,5,2021-11-01
360,176,11,2021-11-01
361,176,2,2021-11-01
45,176,2,2021-10-01
369,78,11,2021-11-01
2619,224,6,2022-04-01
2620,224,1,2022-04-01
2621,224,2,2022-04-01
2622,219,5,2022-04-01
2623,224,12,2022-04-01
52,166,8,2021-10-01
2624,71,2,2022-04-01
370,78,2,2021-11-01
371,207,1,2021-11-01
372,165,8,2021-11-01
59,212,25,2021-10-01
379,190,3,2021-11-01
380,190,17,2021-11-01
381,190,1,2021-11-01
383,190,8,2021-11-01
66,145,2,2021-10-01
385,81,1,2021-11-01
386,133,8,2021-11-01
387,70,1,2021-11-01
390,81,2,2021-11-01
73,111,11,2021-10-01
391,68,3,2021-11-01
392,77,3,2021-11-01
393,75,17,2021-11-01
396,130,10,2021-11-01
76,130,10,2021-10-01
398,132,11,2021-11-01
399,165,1,2021-11-01
401,72,12,2021-11-01
402,81,4,2021-11-01
403,137,8,2021-11-01
83,137,8,2021-10-01
405,69,3,2021-11-01
408,130,5,2021-11-01
410,81,17,2021-11-01
411,70,5,2021-11-01
94,81,17,2021-10-01
412,69,1,2021-11-01
413,130,2,2021-11-01
414,140,8,2021-11-01
415,140,17,2021-11-01
417,132,4,2021-11-01
419,77,17,2021-11-01
420,133,2,2021-11-01
99,132,4,2021-10-01
421,165,10,2021-11-01
422,94,10,2021-11-01
423,140,2,2021-11-01
425,87,8,2021-11-01
426,140,1,2021-11-01
427,132,3,2021-11-01
106,130,1,2021-10-01
428,133,3,2021-11-01
430,70,17,2021-11-01
431,165,4,2021-11-01
435,68,8,2021-11-01
436,68,6,2021-11-01
347,75,25,2021-11-01
437,87,5,2021-11-01
113,165,4,2021-10-01
438,69,17,2021-11-01
439,130,17,2021-11-01
440,142,17,2021-11-01
444,190,10,2021-11-01
445,75,8,2021-11-01
448,87,1,2021-11-01
120,69,17,2021-10-01
449,132,17,2021-11-01
450,70,2,2021-11-01
451,94,4,2021-11-01
454,133,1,2021-11-01
455,229,5,2021-11-01
456,229,17,2021-11-01
127,75,8,2021-10-01
457,229,8,2021-11-01
458,229,3,2021-11-01
459,229,1,2021-11-01
461,231,15,2021-11-01
462,231,2,2021-11-01
464,231,31,2021-11-01
465,231,32,2021-11-01
466,233,26,2021-11-01
467,233,15,2021-11-01
469,233,27,2021-11-01
470,233,29,2021-11-01
471,228,26,2021-11-01
141,229,1,2021-10-01
147,231,32,2021-10-01
149,233,15,2021-10-01
197,228,17,2021-10-04
474,137,17,2021-11-01
475,137,25,2021-11-01
476,137,2,2021-11-01
477,239,30,2021-11-01
479,239,17,2021-11-01
220,239,30,2021-10-13
480,239,41,2021-11-01
596,123,14,2021-11-30
482,165,37,2021-11-01
483,137,42,2021-11-01
2627,75,25,2022-04-01
484,242,40,2021-11-01
225,165,37,2021-10-13
485,242,20,2021-11-01
486,242,37,2021-11-01
487,242,12,2021-11-01
489,235,3,2021-11-01
490,235,44,2021-11-01
251,242,12,2021-10-26
491,244,40,2021-11-01
492,243,4,2021-11-01
493,244,22,2021-11-01
494,245,10,2021-11-01
496,245,23,2021-11-01
256,243,4,2021-10-26
497,245,15,2021-11-01
498,245,3,2021-11-01
499,243,22,2021-11-01
2628,69,8,2022-04-01
500,243,42,2021-11-01
501,246,44,2021-11-01
